source_path;packet_path;category;bytes;sha256;visibility;basis_commit
AGENTS.md;Документы/AGENTS.md;08 Требования, проверки и зависимости;7242;ebaebc543e6f0fdaa4b3f70c0761f9d11af97fc7039d6201c7f3193796d3078e;PUBLIC;8d2cfd9dac117d8cb603b51096bf579a58d37e90
HANDOFF.md;Документы/HANDOFF.md;08 Требования, проверки и зависимости;11170;f6e3dc7b9e66b16603517c3635ba511f061621da0b4890dc075b925a393bdd80;PUBLIC;8d2cfd9dac117d8cb603b51096bf579a58d37e90
data/office/changes.csv;Документы/data/office/changes.csv;08 Требования, проверки и зависимости;187;283f7dfdea553750c2df5846a3793e5401658d8cc99eb6bbd64d537102d1abad;PUBLIC;8d2cfd9dac117d8cb603b51096bf579a58d37e90
data/office/cost-control.csv;Документы/data/office/cost-control.csv;08 Требования, проверки и зависимости;210;2c8ee363b7c8e701cd645481f9bf305fe3076f71b9dd745538b364703815964e;PUBLIC;8d2cfd9dac117d8cb603b51096bf579a58d37e90
data/office/decisions.csv;Документы/data/office/decisions.csv;08 Требования, проверки и зависимости;13668;73f3283d7809fb8f29ebc27140c8cb4576f3279b2ec8e84caa0772b709b5eb95;PUBLIC;8d2cfd9dac117d8cb603b51096bf579a58d37e90
data/office/deliverables.csv;Документы/data/office/deliverables.csv;08 Требования, проверки и зависимости;105;66fe912110a1efff84519bcc14d4e051793ce82c231e934e47397739ea14080e;PUBLIC;8d2cfd9dac117d8cb603b51096bf579a58d37e90
data/office/design-intents.csv;Документы/data/office/design-intents.csv;08 Требования, проверки и зависимости;3726;291e7e045d32817365369c7f2fea6214c434d09b2956916723434ea55af3862c;PUBLIC;8d2cfd9dac117d8cb603b51096bf579a58d37e90
data/office/estimate.csv;Документы/data/office/estimate.csv;08 Требования, проверки и зависимости;129;1547666eca2486a028e09f7cc37f6f7984b8221757ff29472060f2140b27046c;PUBLIC;8d2cfd9dac117d8cb603b51096bf579a58d37e90
data/office/interfaces.csv;Документы/data/office/interfaces.csv;08 Требования, проверки и зависимости;131;eb13d711f31d70209ce48e6acc663338023e29711d83fc2e0a25c731bd58268c;PUBLIC;8d2cfd9dac117d8cb603b51096bf579a58d37e90
data/office/quantities.csv;Документы/data/office/quantities.csv;08 Требования, проверки и зависимости;117;274e49b3e4562d0c4a18afd1a422a72def9a226b1984d29dbeb86ec68d7e3714;PUBLIC;8d2cfd9dac117d8cb603b51096bf579a58d37e90
data/office/questions.csv;Документы/data/office/questions.csv;08 Требования, проверки и зависимости;2905;f2ff4c33461788684d3240c278485a79cbec072829d4e982924699b2bb103df0;PUBLIC;8d2cfd9dac117d8cb603b51096bf579a58d37e90
data/office/quotes.csv;Документы/data/office/quotes.csv;08 Требования, проверки и зависимости;302;a9e81900f2625e96b7f72f3417aaea283961c0917e6b520b8847d7692e3e72dd;PUBLIC;8d2cfd9dac117d8cb603b51096bf579a58d37e90
