source_id;path_or_url;revision;source_type;evidence_status;locator;sha256;access_scope;issuer;source_date;received_date;document_number;scale
SRC-001;HANDOFF.md;786f60ae55773337f780860f8043b4232c8b16b7;REPOSITORY_INPUT;IMPORTED_NOT_REVALIDATED;"Файл исходного commit; внешние ссылки заново не проверены";9586bf9c25c525532ac9524c987067c98d379f4efd86cd9bffe40ff55d099d34;ALREADY_PUBLIC;;;2026-09-10;;
SRC-002;README.md;786f60ae55773337f780860f8043b4232c8b16b7;REPOSITORY_INPUT;IMPORTED_NOT_REVALIDATED;"Файл исходного commit; внешние ссылки заново не проверены";7c0c140edd7dcec88a15aed1ef6b52b16de42ed8de7601ddaa6442d17ba1d73c;ALREADY_PUBLIC;;;2026-09-10;;
SRC-003;data/spec-matrix.csv;786f60ae55773337f780860f8043b4232c8b16b7;REPOSITORY_INPUT;IMPORTED_NOT_REVALIDATED;"Файл исходного commit; внешние ссылки заново не проверены";f9a2686487e24e2b2a16852cec5404de0b6abad51f81f6b2cd2748cb82d9d3bc;ALREADY_PUBLIC;;;2026-09-10;;
SRC-004;docs/01-hull-geometry-weights.md;786f60ae55773337f780860f8043b4232c8b16b7;REPOSITORY_INPUT;IMPORTED_NOT_REVALIDATED;"Файл исходного commit; внешние ссылки заново не проверены";8438ca12a15f35ad497596781013787c60d72e296f6835bb04b11a9b065a22c8;ALREADY_PUBLIC;;;2026-09-10;;
SRC-005;docs/02-rig-sails-deck.md;786f60ae55773337f780860f8043b4232c8b16b7;REPOSITORY_INPUT;IMPORTED_NOT_REVALIDATED;"Файл исходного commit; внешние ссылки заново не проверены";7391ed997a4e00871d30de7709ba0c5eb853925f261936aa110d3f6d0e1f3e37;ALREADY_PUBLIC;;;2026-09-10;;
SRC-006;docs/03-propulsion-steering.md;786f60ae55773337f780860f8043b4232c8b16b7;REPOSITORY_INPUT;IMPORTED_NOT_REVALIDATED;"Файл исходного commit; внешние ссылки заново не проверены";cc82de7083180ef3fdd53c04dff97d9a01ff97bf560bfa7272f76a509f16a965;ALREADY_PUBLIC;;;2026-09-10;;
SRC-007;docs/04-electrical-generation.md;786f60ae55773337f780860f8043b4232c8b16b7;REPOSITORY_INPUT;IMPORTED_NOT_REVALIDATED;"Файл исходного commit; внешние ссылки заново не проверены";c6fa9a9385cb0364df4a7df9127076440b694f9df2324ecef6b338781e6fa694;ALREADY_PUBLIC;;;2026-09-10;;
SRC-008;docs/05-tanks-plumbing-hvac.md;786f60ae55773337f780860f8043b4232c8b16b7;REPOSITORY_INPUT;IMPORTED_NOT_REVALIDATED;"Файл исходного commit; внешние ссылки заново не проверены";fe908909c22a48d6d974a97afa0421edf3560984bbe8037e1acef1e2650386d3;ALREADY_PUBLIC;;;2026-09-10;;
SRC-009;docs/06-layout-interior-machinery.md;786f60ae55773337f780860f8043b4232c8b16b7;REPOSITORY_INPUT;IMPORTED_NOT_REVALIDATED;"Файл исходного commit; внешние ссылки заново не проверены";86d87ae047b57754761b5504fe5d7fb7e5423796139aa767cb8565dfd802d00e;ALREADY_PUBLIC;;;2026-09-10;;
SRC-010;docs/07-reference-yachts.md;786f60ae55773337f780860f8043b4232c8b16b7;REPOSITORY_INPUT;IMPORTED_NOT_REVALIDATED;"Файл исходного commit; внешние ссылки заново не проверены";f26fa637718b4921d622e867986a966506fd19ad69c085bf0191acf4cc28ad38;ALREADY_PUBLIC;;;2026-09-10;;
SRC-011;docs/08-open-questions-survey.md;786f60ae55773337f780860f8043b4232c8b16b7;REPOSITORY_INPUT;IMPORTED_NOT_REVALIDATED;"Файл исходного commit; внешние ссылки заново не проверены";23c6e23ada6df6412c855409d31f7d1dd887c2f3e351fc724d878191cbfd61e6;ALREADY_PUBLIC;;;2026-09-10;;
SRC-012;sources/SOURCES.md;786f60ae55773337f780860f8043b4232c8b16b7;REPOSITORY_INPUT;IMPORTED_NOT_REVALIDATED;"Файл исходного commit; внешние ссылки заново не проверены";42e4254be6c79bd4dce179eeb5c149a1e85f4792a69b54502e66d701bdbcda33;ALREADY_PUBLIC;;;2026-09-10;;
SRC-013;HANDOFF.md;ac55970d9f4e3002da59c6ec221fcf9c31f61bdb;REPOSITORY_INCOMING_UPDATE;PROVISIONAL_DESIGN_TARGET;"Новая редакция удалённого репозитория; требования не проверены инженерно этим переносом";f6e3dc7b9e66b16603517c3635ba511f061621da0b4890dc075b925a393bdd80;ALREADY_PUBLIC;;;2026-09-10;;
SRC-014;docs/16-premium-builder-specification.md;ac55970d9f4e3002da59c6ec221fcf9c31f61bdb;REPOSITORY_INCOMING_UPDATE;PROVISIONAL_DESIGN_TARGET;"Новая редакция удалённого репозитория; требования не проверены инженерно этим переносом";07f5d57d460c2db030c208190275b10fe8de821dace4a98d7950e1bc72760f3e;ALREADY_PUBLIC;;;2026-09-10;;
